Breakfast Cereals,Weight,Measure,Protein,Sugars,Fat,Carbohydrate,Calcium,Energy,Water
"Cereals ready-to-eat, KELLOGG, KELLOGG'S Low Fat Granola without Raisins",49.0,0.5 cup (1 NLEA serving),3.5 g,33.0 mg,8.7 g,28.3 g,5.7 g,80.9 g,389.0 kcal
"Cereals ready-to-eat, KELLOGG, KELLOGG'S MARSHMALLOW FROOT LOOPS",29.0,1.0 cup (1 NLEA serving),2.5 g,9.0 mg,4.59 g,49.9 g,2.79 g,89.3 g,376.0 kcal
"Cereals ready-to-eat, KELLOGG, KELLOGG'S MINI-WHEATS, unfrosted bite size",55.0,30.0 biscuits (1 NLEA serving),4.4 g,35.0 mg,11.6 g,0.4 g,2.0 g,81.0 g,342.0 kcal
"Cereals ready-to-eat, KELLOGG, KELLOGG'S MUESLIX",55.0,0.67 cup (1 NLEA serving),10.0 g,36.0 mg,8.6 g,25.1 g,5.4 g,74.9 g,355.0 kcal
"Cereals ready-to-eat, KELLOGG, KELLOGG'S PRODUCT 19",30.0,1.0 cup (1 NLEA serving),3.5 g,16.0 mg,8.5 g,12.5 g,1.3 g,84.3 g,374.0 kcal
"Cereals ready-to-eat, KELLOGG, KELLOGG'S RAISIN BRAN",59.0,1.0 cup ( 1 NLEA serving),10.4 g,43.0 mg,7.72 g,31.3 g,2.72 g,77.29 g,318.0 kcal
"Cereals ready-to-eat, KELLOGG, KELLOGG'S RAISIN BRAN with cranberries",59.0,1.25 Cups (1 NLEA serving),6.0 g,39.0 mg,6.9 g,30.29 g,1.5 g,84.19 g,344.0 kcal
"Cereals ready-to-eat, KELLOGG, KELLOGG'S RAISIN BRAN, Cinnamon Almond",58.0,1.25 cup (1 NLEA serving),5.67 g,47.0 mg,7.4 g,31.29 g,2.9 g,81.19 g,347.0 kcal
"Cereals ready-to-eat, KELLOGG, KELLOGG'S RICE KRISPIES",33.0,1.25 cup (1 NLEA serving),5.06 g,5.0 mg,6.75 g,9.87 g,2.05 g,85.05 g,381.0 kcal
"Cereals ready-to-eat, KELLOGG, KELLOGG'S RICE KRISPIES TREATS Cereal",30.0,0.75 cup (1 NLEA serving),3.5 g,10.0 mg,4.3 g,29.6 g,4.19 g,85.59 g,395.0 kcal
"Cereals ready-to-eat, KELLOGG, KELLOGG'S SMART START Strong Heart Antioxidants Cereal",50.0,1.0 cup (1 NLEA serving),2.5 g,29.0 mg,7.5 g,27.79 g,1.5 g,86.8 g,371.0 kcal
"Cereals ready-to-eat, KELLOGG, KELLOGG'S SPECIAL K",31.0,1.0 cup (1 NLEA serving),3.0 g,23.0 mg,17.79 g,12.69 g,1.79 g,73.4 g,377.0 kcal
"Cereals ready-to-eat, KELLOGG, KELLOGG'S SPECIAL K Blueberry",30.0,0.75 cup (1 NLEA serving),3.5 g,18.0 mg,6.9 g,26.7 g,1.5 g,86.3 g,363.0 kcal
"Cereals ready-to-eat, KELLOGG, KELLOGG'S SPECIAL K Chocolatey Strawberry",29.0,0.75 Cup (1 NLEA serving),3.0 g,25.0 mg,6.9 g,28.6 g,3.9 g,83.3 g,368.0 kcal
"Cereals ready-to-eat, KELLOGG, KELLOGG'S SPECIAL K Low Fat Granola",52.0,0.5 cup (1 NLEA serving),3.5 g,40.0 mg,13.1 g,18.0 g,5.4 g,74.8 g,375.0 kcal
"Cereals ready-to-eat, KELLOGG, KELLOGG'S SPECIAL K Multi-grain",31.0,1.0 Cup (1 NLEA serving),3.0 g,36.0 mg,7.59 g,20.7 g,1.29 g,86.59 g,364.0 kcal
"Cereals ready-to-eat, KELLOGG, KELLOGG'S SPECIAL K Red Berries",31.0,1.0 cup (1 NLEA serving),3.0 g,24.0 mg,6.3 g,29.7 g,1.29 g,87.09 g,358.0 kcal
"Cereals ready-to-eat, KELLOGG, KELLOGG'S SPECIAL K, Cinnamon Pecan",30.0,0.75 cup (1 NLEA serving),3.0 g,30.0 mg,7.5 g,24.0 g,6.0 g,81.2 g,375.0 kcal
"Cereals ready-to-eat, KELLOGG, KELLOGG'S, RAISIN BRAN CRUNCH",53.0,1.0 cup (1 NLEA serving),5.0 g,35.0 mg,6.59 g,35.2 g,1.79 g,84.9 g,354.0 kcal
"Cereals ready-to-eat, KELLOGG, SPECIAL K, Fruit &amp; Yogurt",32.0,0.75 cup (1 NLEA serving),3.0 g,27.0 mg,7.1 g,32.1 g,2.9 g,85.3 g,367.0 kcal
"Cereals ready-to-eat, MALT-O-MEAL, Apple ZINGS",33.0,1.0 cup (1 NLEA serving),2.5 g,303.0 mg,4.51 g,44.61 g,2.71 g,87.3 g,390.0 kcal
"Cereals ready-to-eat, MALT-O-MEAL, BERRY COLOSSAL CRUNCH",30.0,0.75 cup (1 NLEA serving),2.5 g,33.0 mg,4.19 g,41.66 g,4.17 g,86.55 g,396.0 kcal
"Cereals ready-to-eat, MALT-O-MEAL, Blueberry MUFFIN TOPS Cereal",30.0,0.75 cup (1 NLEA serving),1.1 g,338.0 mg,4.9 g,35.36 g,11.48 g,79.91 g,443.0 kcal
"Cereals ready-to-eat, MALT-O-MEAL, CHOCOLATE MARSHMALLOW MATEYS",30.0,0.75 cup (1 NLEA serving),2.0 g,267.0 mg,3.5 g,55.45 g,3.67 g,88.18 g,392.0 kcal
"Cereals ready-to-eat, MALT-O-MEAL, CINNAMON TOASTERS",30.0,0.75 cup (1 NLEA serving),3.0 g,333.0 mg,3.32 g,32.86 g,12.06 g,78.33 g,425.0 kcal
"Cereals ready-to-eat, MALT-O-MEAL, COCO-ROOS",30.0,0.75 cup (1 NLEA serving),2.5 g,333.0 mg,3.41 g,48.11 g,4.61 g,86.75 g,389.0 kcal
"Cereals ready-to-eat, MALT-O-MEAL, Cocoa DYNO-BITES",29.0,0.75 cup (1 NLEA serving),3.0 g,17.0 mg,4.15 g,43.15 g,3.43 g,87.93 g,397.0 kcal
"Cereals ready-to-eat, MALT-O-MEAL, COLOSSAL CRUNCH",30.0,0.75 cup (1 NLEA serving),2.5 g,0.0 mg,3.64 g,42.5 g,5.28 g,81.59 g,401.0 kcal
"Cereals ready-to-eat, MALT-O-MEAL, CORN BURSTS",31.0,1.0 cup (1 NLEA serving),2.5 g,5.0 mg,3.32 g,46.88 g,0.35 g,90.59 g,385.0 kcal
"Cereals ready-to-eat, MALT-O-MEAL, Crispy Rice",33.0,1.25 cup (1 NLEA serving),3.4 g,7.0 mg,6.07 g,7.82 g,1.12 g,86.4 g,346.0 kcal
"Cereals ready-to-eat, MALT-O-MEAL, Frosted Flakes",31.0,0.75 cup (1 NLEA serving),3.0 g,-- mg,4.25 g,39.27 g,0.87 g,90.2 g,389.0 kcal
"Cereals ready-to-eat, MALT-O-MEAL, Frosted Mini SPOONERS",55.0,1.0 cup (1 NLEA serving),5.5 g,29.0 mg,9.09 g,20.0 g,1.94 g,81.81 g,354.0 kcal
"Cereals ready-to-eat, MALT-O-MEAL, Fruity DYNO-BITES",27.0,0.75 cup,1.2 g,3.0 mg,3.9 g,42.6 g,3.15 g,90.1 g,404.0 kcal
"Cereals ready-to-eat, MALT-O-MEAL, GOLDEN PUFFS",27.0,0.75 cup (1 NLEA serving),2.76 g,11.0 mg,5.77 g,51.34 g,0.89 g,89.72 g,370.0 kcal
"Cereals ready-to-eat, MALT-O-MEAL, Honey BUZZERS",29.0,1.333 cup,1.88 g,14.0 mg,3.45 g,37.93 g,1.72 g,89.66 g,379.0 kcal
"Cereals ready-to-eat, MALT-O-MEAL, HONEY GRAHAM SQUARES",30.0,0.75 cup (1 NLEA serving),3.59 g,367.0 mg,4.46 g,32.7 g,9.97 g,74.68 g,398.0 kcal
"Cereals ready-to-eat, MALT-O-MEAL, Honey Nut SCOOTERS",30.0,1.0 cup (1 NLEA serving),2.5 g,333.0 mg,8.59 g,29.97 g,4.51 g,79.62 g,387.0 kcal
"Cereals ready-to-eat, MALT-O-MEAL, MARSHMALLOW MATEYS",30.0,1.0 cup,2.19 g,333.0 mg,6.94 g,40.91 g,3.53 g,82.77 g,387.0 kcal
"Cereals ready-to-eat, MALT-O-MEAL, OAT BLENDERS with honey",30.0,0.75 cup (1 NLEA serving),3.0 g,23.0 mg,6.78 g,21.62 g,4.17 g,84.94 g,396.0 kcal
"Cereals ready-to-eat, MALT-O-MEAL, OAT BLENDERS with honey &amp; almonds",30.0,0.75 cup (1 NLEA serving),3.1 g,33.0 mg,7.8 g,20.26 g,4.88 g,77.26 g,379.0 kcal
"Cereals ready-to-eat, MALT-O-MEAL, Raisin Bran Cereal",59.0,1.0 cup (1 NLEA serving),7.5 g,33.0 mg,7.63 g,33.04 g,1.87 g,80.37 g,342.0 kcal
"Cereals ready-to-eat, MALT-O-MEAL, TOOTIE FRUITIES",32.0,1.0 cup (1 NLEA serving),2.5 g,313.0 mg,4.69 g,45.31 g,3.2 g,85.94 g,391.0 kcal
"Cereals ready-to-eat, MOM'S BEST, Honey Nut TOASTY O'S",30.0,1.0 cup (1 NLEA serving),2.5 g,380.0 mg,8.6 g,30.17 g,4.51 g,79.84 g,388.0 kcal
"Cereals ready-to-eat, MOM'S BEST, Sweetened WHEAT-FULS",55.0,1.0 cup (1 NLEA serving),6.0 g,36.0 mg,8.18 g,20.29 g,1.83 g,80.91 g,373.0 kcal
"Cereals ready-to-eat, NATURE'S PATH, Organic FLAX PLUS flakes",30.0,0.75 cup (1 NLEA serving),3.4 g,55.0 mg,11.91 g,12.25 g,5.46 g,75.27 g,350.0 kcal
"Cereals ready-to-eat, NATURE'S PATH, Organic FLAX PLUS, Pumpkin Granola",55.0,0.75 cup (1 NLEA serving),3.0 g,51.0 mg,11.23 g,18.17 g,18.33 g,66.1 g,467.0 kcal
"Cereals ready-to-eat, OAT BRAN FLAKES, HEALTH VALLEY",50.0,1.0 cup (1 NLEA serving),3.4 g,80.0 mg,10.0 g,22.0 g,3.0 g,78.0 g,380.0 kcal
"Cereals ready-to-eat, POST Bran Flakes",30.0,0.75 cup (1 NLEA serving),3.4 g,44.0 mg,9.9 g,18.6 g,2.1 g,80.5 g,328.0 kcal
"Cereals ready-to-eat, POST GREAT GRAINS Banana Nut Crunch",59.0,1.0 cup (1 NLEA serving),5.6 g,44.0 mg,9.8 g,17.5 g,8.8 g,70.9 g,390.0 kcal
"Cereals ready-to-eat, POST GREAT GRAINS Cranberry Almond Crunch",48.0,0.75 cup (1 NLEA serving),6.2 g,40.0 mg,8.9 g,25.5 g,5.9 g,76.6 g,384.0 kcal
"Cereals ready-to-eat, POST HONEY BUNCHES OF OATS with cinnamon bunches",30.0,0.75 cup (1 NLEA serving),2.8 g,36.0 mg,7.1 g,20.4 g,5.0 g,82.8 g,400.0 kcal
"Cereals ready-to-eat, POST Raisin Bran Cereal",59.0,1.0 cup (1 NLEA serving),8.6 g,44.0 mg,7.6 g,32.9 g,1.6 g,78.9 g,324.0 kcal
"Cereals ready-to-eat, POST SELECTS Blueberry Morning",55.0,1.25 cup (1 NLEA serving),4.7 g,41.0 mg,6.5 g,29.2 g,5.3 g,81.6 g,395.0 kcal
"Cereals ready-to-eat, POST SELECTS Maple Pecan Crunch",52.0,0.75 cup (1 NLEA serving),3.0 g,39.0 mg,8.5 g,22.5 g,8.7 g,77.4 g,413.0 kcal
"Cereals ready-to-eat, POST, ALPHA-BITS",30.0,1.0 cup (1 NLEA serving for adults),1.2 g,35.0 mg,10.0 g,21.0 g,4.6 g,80.3 g,389.0 kcal
"Cereals ready-to-eat, POST, COCOA PEBBLES",29.0,0.75 cup (1 NLEA serving),2.5 g,22.0 mg,4.8 g,35.8 g,4.1 g,85.7 g,397.0 kcal
"Cereals ready-to-eat, POST, FRUITY PEBBLES",27.0,0.75 cup (1 NLEA serving),3.0 g,19.0 mg,4.62 g,34.28 g,4.02 g,86.1 g,402.0 kcal
"Cereals ready-to-eat, POST, GOLDEN CRISP",27.0,0.75 cup (1 NLEA serving),1.4 g,15.0 mg,5.5 g,53.6 g,1.7 g,90.1 g,380.0 kcal
"Cereals ready-to-eat, POST, GRAPE-NUTS Cereal",58.0,0.5 cup (1 NLEA serving),3.5 g,32.0 mg,11.22 g,8.86 g,1.81 g,80.49 g,361.0 kcal
"Cereals ready-to-eat, POST, GRAPE-NUTS Flakes",29.0,0.75 cup (1 NLEA serving),3.3 g,36.0 mg,9.4 g,15.2 g,3.7 g,82.0 g,376.0 kcal
"Cereals ready-to-eat, POST, GREAT GRAINS Crunchy Pecan Cereal",52.0,0.75 cup (1 NLEA serving),5.2 g,39.0 mg,9.0 g,15.4 g,10.5 g,73.0 g,403.0 kcal
"Cereals ready-to-eat, POST, GREAT GRAINS, Raisin, Date &amp; Pecan",55.0,0.75 cup (1 NLEA serving),8.5 g,39.0 mg,7.9 g,24.1 g,7.1 g,74.3 g,378.0 kcal
"Cereals ready-to-eat, POST, HONEY BUNCHES OF OATS with vanilla bunches",56.0,1.0 cup (1 NLEA serving),3.0 g,33.0 mg,7.9 g,20.7 g,5.1 g,81.8 g,394.0 kcal
"Cereals ready-to-eat, POST, HONEY BUNCHES OF OATS, honey roasted",30.0,0.75 cup (1 NLEA serving),5.0 g,23.0 mg,7.12 g,19.79 g,5.46 g,81.19 g,401.0 kcal
"Cereals ready-to-eat, POST, HONEY BUNCHES OF OATS, pecan bunches",29.0,0.75 cup (1 NLEA serving),2.9 g,19.0 mg,7.0 g,21.9 g,5.4 g,82.0 g,399.0 kcal
"Cereals ready-to-eat, POST, HONEY BUNCHES OF OATS, with almonds",32.0,0.75 cup (1 NLEA serving),2.9 g,35.0 mg,7.7 g,20.0 g,7.3 g,79.6 g,409.0 kcal
"Cereals ready-to-eat, POST, HONEY BUNCHES OF OATS, with real strawberries",31.0,0.75 cup (1 NLEA serving),2.9 g,26.0 mg,6.7 g,24.0 g,4.9 g,83.3 g,399.0 kcal
"Cereals ready-to-eat, POST, Honey Nut Shredded Wheat",59.0,1.0 cup (1 NLEA serving),3.0 g,38.0 mg,8.5 g,20.7 g,2.9 g,83.6 g,373.0 kcal
"Cereals ready-to-eat, POST, Honeycomb Cereal",32.0,1.5 cup (1 NLEA serving),1.5 g,11.0 mg,6.01 g,31.51 g,2.93 g,86.63 g,394.0 kcal
"Cereals ready-to-eat, POST, Shredded Wheat n' Bran, spoon-size",59.0,1.25 cup (1 NLEA serving),3.14 g,44.0 mg,10.93 g,0.75 g,2.06 g,80.65 g,339.0 kcal
"Cereals ready-to-eat, POST, Shredded Wheat, lightly frosted, spoon-size",52.0,1.0 cup (1 NLEA serving),6.0 g,13.0 mg,7.8 g,22.3 g,1.9 g,83.8 g,352.0 kcal
"Cereals ready-to-eat, POST, Shredded Wheat, original big biscuit",47.0,2.0 biscuits (1 NLEA serving),6.1 g,56.0 mg,11.37 g,0.94 g,2.01 g,78.96 g,337.0 kcal
"Cereals ready-to-eat, POST, Shredded Wheat, original spoon-size",49.0,1.0 cup (1 NLEA serving),3.0 g,58.0 mg,11.8 g,0.9 g,2.1 g,81.4 g,351.0 kcal
"Cereals ready-to-eat, Post, Waffle Crisp",30.0,1.0 cup (1 NLEA serving),2.5 g,24.0 mg,6.6 g,34.7 g,5.0 g,83.0 g,390.0 kcal
"Cereals ready-to-eat, QUAKER Oatmeal Squares, Golden Maple",56.0,1.0 cup (1 NLEA serving),2.75 g,201.0 mg,11.3 g,16.82 g,4.83 g,78.04 g,380.0 kcal
"Cereals ready-to-eat, QUAKER WHOLE HEARTS oat cereal",28.0,0.75 cup (1 NLEA serving),2.75 g,0.0 mg,7.63 g,21.53 g,5.61 g,80.1 g,376.0 kcal
"Cereals ready-to-eat, QUAKER, 100% Natural Granola, Oats, Wheat and Honey",48.0,0.5 cup (1 NLEA serving),2.19 g,109.0 mg,10.55 g,20.34 g,11.62 g,73.65 g,421.0 kcal
"Cereals ready-to-eat, QUAKER, CAP'N CRUNCH",27.0,0.75 cup (1 NLEA serving),2.5 g,11.0 mg,4.39 g,44.32 g,5.12 g,85.51 g,398.0 kcal
"Cereals ready-to-eat, QUAKER, CAP'N CRUNCH with CRUNCHBERRIES",26.0,0.75 cup (1 NLEA serving),2.5 g,11.0 mg,4.45 g,44.2 g,4.83 g,85.93 g,397.0 kcal
"Cereals ready-to-eat, QUAKER, CAP'N CRUNCH'S Halloween Crunch",26.0,0.75 cup (1 NLEA serving),2.48 g,11.0 mg,4.41 g,43.82 g,5.66 g,85.14 g,402.0 kcal
"Cereals ready-to-eat, QUAKER, Cap'n Crunch's OOPS! All Berries Cereal",32.0,1.0 cup (1 NLEA serving),2.5 g,11.0 mg,4.6 g,44.18 g,3.99 g,87.1 g,395.0 kcal
"Cereals ready-to-eat, QUAKER, CAP'N CRUNCH'S PEANUT BUTTER CRUNCH",27.0,0.75 cup (1 NLEA serving),2.5 g,9.0 mg,7.1 g,33.36 g,9.23 g,78.65 g,417.0 kcal
"Cereals ready-to-eat, QUAKER, Christmas Crunch",26.0,0.75 cup (1 NLEA serving),2.5 g,11.0 mg,4.44 g,44.31 g,4.83 g,85.92 g,397.0 kcal
"Cereals ready-to-eat, QUAKER, HONEY GRAHAM OH!S",27.0,0.75 cup (1 NLEA serving),2.75 g,11.0 mg,3.92 g,43.23 g,7.63 g,83.65 g,412.0 kcal
"Cereals ready-to-eat, QUAKER, KING VITAMAN",31.0,1.5 cup (1 NLEA serving),3.35 g,10.0 mg,6.41 g,20.27 g,3.44 g,83.85 g,381.0 kcal
"Cereals ready-to-eat, QUAKER, Low Fat 100% Natural Granola with Raisins",55.0,0.666 cup (1 NLEA serving),3.4 g,65.0 mg,8.42 g,25.65 g,5.52 g,80.57 g,388.0 kcal
"Cereals ready-to-eat, QUAKER, Maple Brown Sugar LIFE Cereal",32.0,0.75 cup (1 NLEA serving),4.3 g,349.0 mg,9.17 g,24.9 g,4.06 g,78.86 g,373.0 kcal
"Cereals ready-to-eat, QUAKER, MOTHER'S Cinnamon Oat Crunch",60.0,1.0 cup (1 NLEA serving),2.75 g,50.0 mg,10.6 g,25.37 g,4.56 g,79.79 g,382.0 kcal
"Cereals ready-to-eat, QUAKER, MOTHER'S COCOA BUMPERS",33.0,1.0 cup (1 NLEA serving),2.5 g,16.0 mg,4.21 g,43.12 g,1.61 g,89.91 g,382.0 kcal
"Cereals ready-to-eat, QUAKER, MOTHER'S GRAHAM BUMPERS",28.0,0.75 cup (1 NLEA serving),2.5 g,18.0 mg,4.55 g,44.33 g,1.45 g,88.89 g,379.0 kcal
"Cereals ready-to-eat, QUAKER, MOTHER'S PEANUT BUTTER BUMPERS Cereal",33.0,1.0 cup (1 NLEA serving),2.5 g,23.0 mg,7.62 g,29.29 g,7.33 g,79.68 g,407.0 kcal
"Cereals ready-to-eat, QUAKER, MOTHER'S Toasted Oat Bran cereal",32.0,0.75 cup (1 NLEA serving),4.0 g,58.0 mg,11.45 g,15.57 g,5.04 g,75.41 g,372.0 kcal
"Cereals ready-to-eat, QUAKER, Natural Granola Apple Cranberry Almond",49.0,0.5 cup (1 NLEA serving),3.21 g,98.0 mg,9.21 g,27.43 g,11.06 g,74.73 g,418.0 kcal
"Cereals ready-to-eat, QUAKER, Oatmeal Squares",56.0,1.0 cup (1 NLEA serving),2.75 g,201.0 mg,11.38 g,16.69 g,4.83 g,77.77 g,379.0 kcal
"Cereals ready-to-eat, QUAKER, Oatmeal Squares, cinnamon",56.0,1.0 cup (1 NLEA serving),2.75 g,210.0 mg,11.23 g,16.67 g,4.88 g,78.09 g,379.0 kcal
"Cereals ready-to-eat, QUAKER, QUAKER 100% Natural Granola with Oats, Wheat, Honey, and Raisins",51.0,0.5 cup (1 NLEA serving),3.39 g,101.0 mg,9.66 g,24.63 g,10.38 g,74.67 g,412.0 kcal
"Cereals ready-to-eat, QUAKER, QUAKER CRUNCHY BRAN",27.0,0.75 cup (1 NLEA serving),2.5 g,71.0 mg,6.37 g,20.66 g,4.06 g,83.68 g,331.0 kcal
"Cereals ready-to-eat, QUAKER, QUAKER Honey Graham LIFE Cereal",32.0,0.75 cup (1 NLEA serving),4.3 g,366.0 mg,9.33 g,23.12 g,4.14 g,78.56 g,373.0 kcal
"Cereals ready-to-eat, QUAKER, QUAKER OAT CINNAMON LIFE",32.0,0.75 cup (1 NLEA serving),4.3 g,387.0 mg,9.14 g,25.18 g,4.1 g,79.02 g,374.0 kcal
"Cereals ready-to-eat, QUAKER, QUAKER OAT LIFE, plain",32.0,0.75 cup (1 NLEA serving),4.3 g,351.0 mg,9.98 g,19.43 g,4.43 g,77.74 g,374.0 kcal
"Cereals ready-to-eat, QUAKER, QUAKER Puffed Rice",14.0,0.75 cup (1 NLEA serving),3.91 g,9.0 mg,7.01 g,0.0 g,0.9 g,87.78 g,383.0 kcal
"Cereals ready-to-eat, QUAKER, QUAKER Puffed Wheat",15.0,1.0 cup (1 NLEA serving),3.69 g,24.0 mg,16.26 g,1.37 g,2.15 g,76.39 g,366.0 kcal
"Cereals ready-to-eat, QUAKER, Shredded Wheat, bagged cereal",63.0,3.0 biscuits (1 NLEA serving),4.2 g,45.0 mg,11.24 g,0.81 g,2.01 g,81.01 g,348.0 kcal
"Cereals ready-to-eat, QUAKER, SWEET CRUNCH/QUISP",27.0,1.0 cup (1 NLEA serving),2.0 g,9.0 mg,4.51 g,43.36 g,6.08 g,85.03 g,406.0 kcal
"Cereals ready-to-eat, QUAKER, Toasted Multigrain Crisps",57.0,1.25 cup (1 NLEA serving),4.0 g,242.0 mg,12.38 g,16.34 g,5.11 g,74.9 g,372.0 kcal
"Cereals ready-to-eat, RALSTON Corn Biscuits",30.0,1.0 cup (NLEA serving),3.59 g,378.0 mg,5.83 g,9.51 g,1.05 g,85.79 g,367.0 kcal
"Cereals ready-to-eat, RALSTON Corn Flakes",28.0,1.0 cup (1 NLEA serving),3.31 g,2.0 mg,5.9 g,7.84 g,0.91 g,88.01 g,357.0 kcal
"Cereals ready-to-eat, RALSTON CRISP RICE",33.0,1.25 cup (1 NLEA serving),3.62 g,5.0 mg,6.69 g,12.12 g,1.26 g,86.22 g,394.0 kcal
"Cereals ready-to-eat, RALSTON Crispy Hexagons",29.0,1.0 cup (1 NLEA serving),4.07 g,8.0 mg,5.94 g,13.79 g,0.95 g,86.78 g,379.0 kcal
"Cereals ready-to-eat, RALSTON Enriched Wheat Bran flakes",29.0,1.0 serving (NLEA serving size = 0.75 cup),2.53 g,45.0 mg,10.21 g,17.17 g,3.36 g,79.77 g,310.0 kcal
"Cereals ready-to-eat, RALSTON TASTEEOS",28.0,1.0 cup (1 NLEA serving),3.68 g,-- mg,10.71 g,3.57 g,5.36 g,75.5 g,357.0 kcal
"Cereals ready-to-eat, rice, puffed, fortified",14.0,1.0 cup,3.0 g,6.0 mg,6.3 g,-- g,0.5 g,89.8 g,402.0 kcal
"Cereals ready-to-eat, SUN COUNTRY, KRETSCHMER Honey Crunch Wheat Germ",14.0,2.0 tbsp (1 NLEA serving),3.4 g,50.0 mg,26.55 g,21.43 g,7.78 g,58.11 g,372.0 kcal
"Cereals ready-to-eat, SUN COUNTRY, KRETSCHMER Toasted Wheat Bran",16.0,0.25 cup (1 NLEA serving),11.72 g,66.0 mg,17.56 g,-- g,5.16 g,59.51 g,200.0 kcal
"Cereals ready-to-eat, SUN COUNTRY, KRETSCHMER Wheat Germ, Regular",14.0,2.0 tbsp (1 NLEA serving),4.78 g,50.0 mg,31.43 g,7.14 g,9.56 g,49.38 g,366.0 kcal
"Cereals ready-to-eat, UNCLE SAM CEREAL",55.0,0.75 cup (1 NLEA serving),4.43 g,95.0 mg,15.98 g,1.56 g,11.6 g,65.78 g,346.0 kcal
"Cereals ready-to-eat, USDA Commodity Corn and Rice (includes all commodity brands)",29.0,1.0 cup,3.78 g,10.0 mg,6.06 g,10.35 g,1.08 g,86.85 g,378.0 kcal
"Cereals ready-to-eat, USDA Commodity Rice Crisps (includes all commodity brands)",28.0,1.0 cup (1 NLEA serving),3.85 g,5.0 mg,6.45 g,8.35 g,1.27 g,86.04 g,381.0 kcal
"Cereals ready-to-eat, WEETABIX whole grain cereal",35.0,2.0 biscuits (1 NLEA serving),3.0 g,57.0 mg,11.43 g,5.71 g,2.86 g,81.5 g,371.0 kcal
"Cereals ready-to-eat, wheat and bran, presweetened with nuts and fruits",55.0,1.0 cup (1 NLEA serving),8.5 g,43.0 mg,7.1 g,23.6 g,5.6 g,76.2 g,385.0 kcal
"Cereals ready-to-eat, wheat germ, toasted, plain",28.35,1.0 oz,5.6 g,45.0 mg,29.1 g,7.8 g,10.7 g,49.6 g,382.0 kcal
"Cereals ready-to-eat, wheat, puffed, fortified",12.0,1.0 cup,3.0 g,28.0 mg,14.7 g,-- g,1.2 g,79.6 g,364.0 kcal
"Cereals, corn grits, white, regular and quick, enriched, cooked with water, with salt",257.0,1.0 cup,82.93 g,1.0 mg,1.71 g,0.12 g,0.46 g,14.76 g,71.0 kcal
"Cereals, corn grits, white, regular and quick, enriched, cooked with water, without salt",257.0,1.0 cup,82.93 g,1.0 mg,1.71 g,0.12 g,0.46 g,14.76 g,71.0 kcal
"Cereals, corn grits, white, regular and quick, enriched, dry",9.7,1.0 tbsp,10.92 g,4.0 mg,7.65 g,0.57 g,1.75 g,79.09 g,370.0 kcal
"Cereals, corn grits, yellow, regular and quick, enriched, cooked with water, without salt",233.0,1.0 cup,84.36 g,1.0 mg,1.23 g,0.09 g,0.39 g,13.86 g,65.0 kcal
"Cereals, corn grits, yellow, regular and quick, enriched, dry",170.0,1.0 cup,11.37 g,4.0 mg,6.72 g,0.55 g,1.49 g,79.91 g,368.0 kcal
"Cereals, corn grits, yellow, regular and quick, unenriched, dry",9.7,1.0 tbsp,10.0 g,2.0 mg,8.8 g,0.64 g,1.2 g,79.6 g,371.0 kcal
"Cereals, corn grits, yellow, regular, quick, enriched, cooked with water, with salt",233.0,1.0 cup,84.36 g,1.0 mg,1.23 g,0.09 g,0.39 g,13.86 g,65.0 kcal
"Cereals, CREAM OF RICE, cooked with water, with salt",244.0,1.0 cup,87.5 g,1.0 mg,0.9 g,0.04 g,0.1 g,11.5 g,52.0 kcal
"Cereals, CREAM OF RICE, cooked with water, without salt",244.0,1.0 cup,87.5 g,1.0 mg,0.9 g,0.04 g,0.1 g,11.4 g,52.0 kcal
"Cereals, CREAM OF RICE, dry",45.0,0.25 cup (1 NLEA serving),10.5 g,5.0 mg,6.3 g,0.3 g,0.5 g,82.4 g,370.0 kcal
"Cereals, CREAM OF WHEAT, 1 minute cook time, cooked with water, microwaved, without salt",237.0,1.0 cup,86.51 g,126.0 mg,1.95 g,2.98 g,0.37 g,10.67 g,55.0 kcal
"Cereals, CREAM OF WHEAT, 1 minute cook time, cooked with water, stove-top, without salt",245.0,1.0 cup,86.4 g,125.0 mg,1.65 g,0.07 g,0.42 g,11.16 g,56.0 kcal
"Cereals, CREAM OF WHEAT, 1 minute cook time, dry",33.0,3.0 tablespoon (1 serving),11.41 g,801.0 mg,11.77 g,0.51 g,1.47 g,72.63 g,359.0 kcal
"Cereals, CREAM OF WHEAT, 2 1/2 minute cook time, cooked with water, microwaved, without salt",231.0,1.0 cup,87.11 g,131.0 mg,1.88 g,0.34 g,0.37 g,10.1 g,52.0 kcal
"Cereals, CREAM OF WHEAT, 2 1/2 minute cook time, cooked with water, stove-top, without salt",244.0,1.0 cup,86.2 g,104.0 mg,1.44 g,0.07 g,0.2 g,11.74 g,56.0 kcal
"Cereals, CREAM OF WHEAT, 2 1/2 minute cook time, dry",33.0,3.0 tablespoon (1 NLEA serving),11.56 g,882.0 mg,11.61 g,0.47 g,1.41 g,71.79 g,355.0 kcal
"Cereals, CREAM OF WHEAT, instant, dry",11.5,1.0 tbsp,10.4 g,357.0 mg,10.6 g,0.4 g,1.4 g,75.5 g,366.0 kcal
