Baked Products,Weight,Measure,Protein,Sugars,Fat,Carbohydrate,Calcium,Energy,Water
"Cheesecake prepared from mix, no-bake type",28.35,1.0 oz,44.2 g,172.0 mg,5.5 g,-- g,12.7 g,35.5 g,274.0 kcal
"Cinnamon buns, frosted (includes honey buns)",65.0,1.0 bun,18.98 g,183.0 mg,4.45 g,25.7 g,26.61 g,48.6 g,452.0 kcal
"Coffeecake, cheese",28.35,1.0 oz,32.2 g,59.0 mg,7.0 g,-- g,15.2 g,44.3 g,339.0 kcal
"Coffeecake, cinnamon with crumb topping, commercially prepared, enriched",28.35,1.0 oz,21.9 g,54.0 mg,6.8 g,-- g,23.3 g,46.7 g,418.0 kcal
"Coffeecake, cinnamon with crumb topping, commercially prepared, unenriched",28.35,1.0 oz,21.9 g,54.0 mg,6.8 g,-- g,23.3 g,46.7 g,418.0 kcal
"Coffeecake, cinnamon with crumb topping, dry mix",28.35,1.0 oz,3.3 g,148.0 mg,4.8 g,42.52 g,12.0 g,77.7 g,436.0 kcal
"Coffeecake, cinnamon with crumb topping, dry mix, prepared",28.35,1.0 oz,30.5 g,136.0 mg,5.5 g,29.53 g,9.6 g,52.8 g,318.0 kcal
"Coffeecake, creme-filled with chocolate frosting",28.35,1.0 oz,29.1 g,38.0 mg,5.0 g,-- g,10.8 g,53.8 g,331.0 kcal
"Coffeecake, fruit",28.35,1.0 oz,31.7 g,45.0 mg,5.2 g,-- g,10.2 g,51.5 g,311.0 kcal
"CONTINENTAL MILLS, KRUSTEAZ Almond Poppyseed Muffin Mix, Artificially Flavored, dry",40.0,1.0 serving,5.7 g,82.0 mg,5.6 g,40.0 g,10.3 g,75.6 g,418.0 kcal
"Cookie, butter or sugar, with chocolate icing or filling",31.0,3.0 cookies,2.0 g,19.0 mg,4.1 g,33.8 g,23.5 g,68.83 g,503.0 kcal
"Cookie, chocolate, with icing or coating",32.0,4.0 cookies,2.0 g,15.0 mg,4.5 g,32.0 g,24.2 g,67.87 g,507.0 kcal
"Cookie, vanilla with caramel, coconut, and chocolate coating",29.0,2.0 cookies,5.7 g,40.0 mg,3.5 g,35.8 g,25.8 g,64.1 g,489.0 kcal
"Cookie, with peanut butter filling, chocolate-coated",25.0,2.0 cookies,1.8 g,35.0 mg,8.1 g,30.9 g,35.3 g,52.9 g,562.0 kcal
"Cookies, animal crackers (includes arrowroot, tea biscuits)",28.35,1.0 oz,3.9 g,43.0 mg,6.9 g,23.3 g,13.8 g,74.1 g,446.0 kcal
"Cookies, animal, with frosting or icing",31.0,8.0 cookies 1 serving,2.0 g,6.0 mg,3.0 g,41.1 g,24.1 g,70.09 g,509.0 kcal
"Cookies, brownies, commercially prepared",28.35,1.0 oz,13.6 g,29.0 mg,4.8 g,36.61 g,16.3 g,63.9 g,405.0 kcal
"Cookies, brownies, commercially prepared, reduced fat, with added fiber",36.0,1.0 brownie 1 serving,24.83 g,0.0 mg,2.77 g,38.73 g,9.68 g,61.58 g,345.0 kcal
"Cookies, brownies, dry mix, regular",28.35,1.0 oz,2.8 g,19.0 mg,4.0 g,-- g,14.9 g,76.6 g,434.0 kcal
"Cookies, brownies, dry mix, sugar free",28.35,1.0 oz,3.5 g,12.0 mg,2.9 g,-- g,12.5 g,80.4 g,426.0 kcal
"Cookies, brownies, prepared from recipe",28.35,1.0 oz,12.6 g,57.0 mg,6.2 g,-- g,29.1 g,50.2 g,466.0 kcal
"Cookies, butter, commercially prepared, enriched",28.35,1.0 oz,4.6 g,29.0 mg,6.1 g,20.24 g,18.8 g,68.9 g,467.0 kcal
"Cookies, butter, commercially prepared, unenriched",28.35,1.0 oz,4.6 g,29.0 mg,6.1 g,-- g,18.8 g,68.9 g,467.0 kcal
"Cookies, chocolate chip sandwich, with creme filling",34.0,1.0 cookie,14.95 g,0.0 mg,2.94 g,38.24 g,17.65 g,63.52 g,425.0 kcal
"Cookies, chocolate chip, commercially prepared, regular, higher fat, enriched",12.9,1.0 cookie,3.57 g,21.0 mg,5.1 g,32.9 g,24.72 g,65.36 g,492.0 kcal
"Cookies, chocolate chip, commercially prepared, regular, higher fat, unenriched",28.35,1.0 oz,4.1 g,25.0 mg,5.4 g,-- g,22.6 g,66.8 g,481.0 kcal
"Cookies, chocolate chip, commercially prepared, regular, lower fat",34.0,1.0 serving 3 cookies,7.36 g,0.0 mg,5.97 g,32.84 g,17.91 g,67.49 g,451.0 kcal
"Cookies, chocolate chip, commercially prepared, soft-type",14.2,1.0 cookie,9.88 g,17.0 mg,3.63 g,37.1 g,19.77 g,65.75 g,444.0 kcal
"Cookies, chocolate chip, commercially prepared, special dietary",28.35,1.0 oz,5.1 g,46.0 mg,3.9 g,39.81 g,16.8 g,73.4 g,450.0 kcal
"Cookies, chocolate chip, dry mix",28.35,1.0 oz,3.0 g,43.0 mg,4.6 g,-- g,25.2 g,66.1 g,497.0 kcal
"Cookies, chocolate chip, prepared from recipe, made with butter",28.35,1.0 oz,-- g,38.0 mg,5.7 g,-- g,28.4 g,58.2 g,488.0 kcal
"Cookies, chocolate chip, prepared from recipe, made with margarine",28.35,1.0 oz,-- g,39.0 mg,5.7 g,-- g,28.3 g,58.4 g,488.0 kcal
"Cookies, chocolate chip, refrigerated dough",33.0,1.0 serving,12.08 g,14.0 mg,3.98 g,38.04 g,21.33 g,61.02 g,451.0 kcal
"Cookies, chocolate chip, refrigerated dough, baked",28.35,1.0 oz,3.0 g,28.0 mg,4.9 g,-- g,22.6 g,68.2 g,492.0 kcal
"Cookies, chocolate cream covered biscuit sticks",40.0,1.0 serving,15.09 g,50.0 mg,10.0 g,25.0 g,22.5 g,51.08 g,447.0 kcal
"Cookies, chocolate sandwich, with creme filling, reduced fat",34.0,1.0 serving,6.23 g,0.0 mg,2.94 g,41.18 g,13.24 g,76.17 g,436.0 kcal
"Cookies, chocolate sandwich, with creme filling, regular",36.0,3.0 cookie,3.11 g,21.0 mg,5.21 g,40.67 g,19.14 g,71.0 g,464.0 kcal
"Cookies, chocolate sandwich, with creme filling, regular, chocolate-coated",28.35,1.0 oz,2.0 g,35.0 mg,3.6 g,49.58 g,26.4 g,66.4 g,481.0 kcal
"Cookies, chocolate sandwich, with creme filling, special dietary",28.35,1.0 oz,4.2 g,98.0 mg,4.5 g,19.73 g,22.1 g,68.0 g,461.0 kcal
"Cookies, chocolate sandwich, with extra creme filling",28.35,1.0 oz,1.65 g,16.0 mg,4.33 g,46.0 g,24.52 g,68.2 g,497.0 kcal
"Cookies, chocolate wafers",28.35,1.0 oz,4.5 g,31.0 mg,6.6 g,37.43 g,14.2 g,72.7 g,433.0 kcal
"Cookies, chocolate, made with rice cereal",62.0,1.0 cookie,13.02 g,32.0 mg,3.23 g,40.32 g,19.35 g,63.26 g,440.0 kcal
"Cookies, coconut macaroon",36.0,2.0 cookie 1 serving,11.5 g,5.0 mg,3.02 g,45.16 g,22.55 g,61.22 g,460.0 kcal
"Cookies, fig bars",28.35,1.0 oz,16.5 g,64.0 mg,3.7 g,46.36 g,7.3 g,70.9 g,348.0 kcal
"Cookies, fortune",28.35,1.0 oz,8.0 g,12.0 mg,4.2 g,45.42 g,2.7 g,84.0 g,378.0 kcal
"Cookies, fudge, cake-type (includes trolley cakes)",28.35,1.0 oz,11.8 g,34.0 mg,5.0 g,-- g,3.7 g,78.3 g,349.0 kcal
"Cookies, gingersnaps",28.35,1.0 oz,5.3 g,77.0 mg,5.6 g,19.92 g,9.8 g,76.9 g,416.0 kcal
"Cookies, gluten-free, chocolate sandwich, with creme filling",44.0,3.0 cookies,2.84 g,19.0 mg,2.19 g,49.0 g,17.89 g,76.03 g,474.0 kcal
"Cookies, gluten-free, chocolate wafer",23.0,3.0 cookies,1.37 g,109.0 mg,4.06 g,40.99 g,30.42 g,62.82 g,541.0 kcal
"Cookies, gluten-free, lemon wafer",30.0,3.0 cookies,1.12 g,9.0 mg,0.0 g,42.31 g,24.18 g,74.39 g,515.0 kcal
"Cookies, gluten-free, vanilla sandwich, with creme filling",44.0,3.0 cookies,1.67 g,14.0 mg,2.66 g,46.68 g,20.47 g,74.61 g,493.0 kcal
"Cookies, graham crackers, chocolate-coated",27.0,3.0 pieces,2.0 g,46.0 mg,4.0 g,37.3 g,25.8 g,66.78 g,500.0 kcal
"Cookies, graham crackers, plain or honey (includes cinnamon)",28.35,1.0 oz,3.39 g,77.0 mg,6.69 g,24.85 g,10.6 g,77.66 g,430.0 kcal
"Cookies, graham crackers, plain or honey, lowfat",35.0,1.0 serving,8.01 g,429.0 mg,5.71 g,22.86 g,-- g,77.96 g,386.0 kcal
"Cookies, ladyfingers, with lemon juice and rind",28.35,1.0 oz,19.5 g,47.0 mg,10.6 g,25.39 g,9.1 g,59.7 g,365.0 kcal
"Cookies, ladyfingers, without lemon juice and rind",28.35,1.0 oz,19.5 g,47.0 mg,10.6 g,-- g,9.1 g,59.7 g,363.0 kcal
"Cookies, Marie biscuit",28.0,5.0 cookie,9.79 g,0.0 mg,7.05 g,21.16 g,10.58 g,70.54 g,406.0 kcal
"Cookies, marshmallow, chocolate-coated (includes marshmallow pies)",28.35,1.0 oz,10.1 g,46.0 mg,4.0 g,44.8 g,16.9 g,67.7 g,421.0 kcal
"Cookies, marshmallow, with rice cereal and chocolate chips",22.0,1.0 bar,12.27 g,0.0 mg,4.55 g,40.91 g,18.18 g,63.26 g,435.0 kcal
"Cookies, molasses",28.35,1.0 oz,5.8 g,74.0 mg,5.6 g,17.6 g,12.8 g,73.8 g,430.0 kcal
"Cookies, oatmeal sandwich, with creme filling",38.0,1.0 cookie 1 serving,22.1 g,0.0 mg,2.61 g,31.36 g,18.29 g,55.62 g,398.0 kcal
"Cookies, oatmeal, commercially prepared, regular",28.35,1.0 oz,5.7 g,37.0 mg,6.2 g,24.66 g,18.1 g,68.7 g,450.0 kcal
"Cookies, oatmeal, commercially prepared, soft-type",28.35,1.0 oz,11.0 g,90.0 mg,6.1 g,-- g,14.7 g,65.7 g,409.0 kcal
"Cookies, oatmeal, commercially prepared, special dietary",28.35,1.0 oz,6.5 g,54.0 mg,4.8 g,31.65 g,18.0 g,69.9 g,449.0 kcal
"Cookies, oatmeal, dry mix",28.35,1.0 oz,5.3 g,25.0 mg,6.5 g,-- g,19.2 g,67.3 g,462.0 kcal
"Cookies, oatmeal, prepared from recipe, with raisins",28.35,1.0 oz,6.4 g,100.0 mg,6.5 g,-- g,16.2 g,68.4 g,435.0 kcal
"Cookies, oatmeal, prepared from recipe, without raisins",28.35,1.0 oz,6.2 g,105.0 mg,6.8 g,-- g,17.9 g,66.4 g,447.0 kcal
"Cookies, oatmeal, reduced fat",25.0,1.0 cookie,19.46 g,0.0 mg,4.02 g,32.14 g,10.04 g,64.62 g,365.0 kcal
"Cookies, oatmeal, refrigerated dough",28.35,1.0 oz,15.3 g,31.0 mg,5.4 g,-- g,18.9 g,59.1 g,424.0 kcal
"Cookies, oatmeal, refrigerated dough, baked",28.35,1.0 oz,5.8 g,35.0 mg,6.0 g,-- g,21.0 g,65.7 g,471.0 kcal
"Cookies, peanut butter sandwich, regular",28.35,1.0 oz,2.8 g,53.0 mg,8.8 g,35.44 g,21.1 g,65.6 g,478.0 kcal
"Cookies, peanut butter sandwich, special dietary",28.35,1.0 oz,3.7 g,43.0 mg,10.0 g,-- g,34.0 g,50.8 g,535.0 kcal
"Cookies, peanut butter, commercially prepared, regular",28.35,1.0 oz,7.28 g,41.0 mg,8.92 g,28.58 g,23.82 g,58.15 g,473.0 kcal
"Cookies, peanut butter, commercially prepared, soft-type",28.35,1.0 oz,11.5 g,12.0 mg,5.3 g,-- g,24.4 g,57.7 g,457.0 kcal
"Cookies, peanut butter, commercially prepared, sugar free",29.0,1.0 serving 3 cookies,6.17 g,-- mg,10.34 g,0.0 g,31.03 g,50.52 g,523.0 kcal
"Cookies, peanut butter, prepared from recipe",28.35,1.0 oz,5.9 g,39.0 mg,9.0 g,-- g,23.8 g,58.9 g,475.0 kcal
"Cookies, peanut butter, refrigerated dough",28.35,1.0 oz,12.6 g,101.0 mg,8.2 g,-- g,25.0 g,52.1 g,458.0 kcal
"Cookies, peanut butter, refrigerated dough, baked",28.35,1.0 oz,4.0 g,111.0 mg,9.1 g,-- g,27.5 g,57.3 g,503.0 kcal
"Cookies, raisin, soft-type",28.35,1.0 oz,13.1 g,46.0 mg,4.1 g,47.56 g,13.6 g,68.0 g,401.0 kcal
"Cookies, shortbread, commercially prepared, pecan",28.35,1.0 oz,3.3 g,30.0 mg,4.9 g,-- g,32.5 g,58.3 g,542.0 kcal
"Cookies, shortbread, commercially prepared, plain",28.35,1.0 oz,3.6 g,13.0 mg,5.37 g,21.65 g,26.22 g,63.78 g,514.0 kcal
"Cookies, shortbread, reduced fat",11.8,1.0 cookie,3.6 g,13.0 mg,5.37 g,21.65 g,14.0 g,75.99 g,451.0 kcal
"Cookies, sugar wafer, chocolate-covered",29.0,3.0 cookie,1.73 g,0.0 mg,3.45 g,51.72 g,27.59 g,65.99 g,526.0 kcal
"Cookies, sugar wafer, with creme filling, sugar free",28.35,1.0 oz,0.7 g,-- mg,3.57 g,0.0 g,28.57 g,66.26 g,531.0 kcal
"Cookies, sugar wafers with creme filling, regular",36.0,3.0 cookies,1.66 g,27.0 mg,3.84 g,42.95 g,23.24 g,70.64 g,502.0 kcal
"Cookies, sugar, commercially prepared, regular (includes vanilla)",28.35,1.0 oz,6.29 g,35.0 mg,5.35 g,27.31 g,19.55 g,67.34 g,464.0 kcal
"Cookies, sugar, prepared from recipe, made with margarine",28.35,1.0 oz,8.9 g,73.0 mg,5.9 g,24.86 g,23.4 g,60.0 g,472.0 kcal
"Cookies, sugar, refrigerated dough",33.0,1.0 serving,14.08 g,8.0 mg,4.0 g,36.51 g,19.48 g,61.22 g,436.0 kcal
"Cookies, sugar, refrigerated dough, baked",28.35,1.0 oz,5.0 g,90.0 mg,4.7 g,40.36 g,23.1 g,65.6 g,489.0 kcal
"Cookies, vanilla sandwich with creme filling",28.35,1.0 oz,2.2 g,27.0 mg,4.5 g,39.3 g,20.0 g,72.1 g,483.0 kcal
"Cookies, vanilla sandwich with creme filling, reduced fat",48.0,1.0 serving cookie,6.25 g,42.0 mg,4.17 g,37.5 g,10.42 g,78.16 g,423.0 kcal
"Cookies, vanilla wafers, higher fat",30.0,8.0 wafers,4.98 g,36.0 mg,4.9 g,35.07 g,16.41 g,72.6 g,455.0 kcal
"Cookies, vanilla wafers, lower fat",28.35,1.0 oz,5.1 g,48.0 mg,5.0 g,37.5 g,15.2 g,73.6 g,441.0 kcal
Cracker meal,28.35,1.0 oz,7.6 g,23.0 mg,9.3 g,0.33 g,1.7 g,80.9 g,383.0 kcal
"Crackers, cheese, low sodium",14.2,0.5 oz,3.1 g,151.0 mg,10.1 g,0.28 g,25.3 g,58.2 g,503.0 kcal
"Crackers, cheese, reduced fat",30.0,1.0 serving,7.3 g,67.0 mg,10.0 g,0.0 g,11.67 g,68.19 g,418.0 kcal
"Crackers, cheese, regular",14.2,0.5 oz,3.55 g,136.0 mg,10.93 g,4.53 g,22.74 g,59.42 g,489.0 kcal
"Crackers, cheese, sandwich-type with cheese filling",39.0,6.0 cracker 1 cracker = 6.5g,4.81 g,89.0 mg,8.92 g,12.33 g,24.41 g,58.76 g,490.0 kcal
"Crackers, cheese, sandwich-type with peanut butter filling",14.2,0.5 oz,3.28 g,50.0 mg,12.41 g,6.98 g,25.12 g,56.74 g,496.0 kcal
"Crackers, cheese, whole grain",31.0,1.0 serving 55 pieces,14.26 g,128.0 mg,9.62 g,0.0 g,16.03 g,57.29 g,412.0 kcal
"Crackers, cream, GAMESA SABROSAS",31.0,11.0 crackers (1 NLEA serving),4.45 g,26.0 mg,7.01 g,9.37 g,20.37 g,64.55 g,484.0 kcal
"Crackers, cream, LA MODERNA RIKIS CREAM CRACKERS",32.0,10.0 crackers (1 NLEA serving),4.48 g,734.0 mg,7.19 g,10.41 g,19.5 g,64.88 g,464.0 kcal
"Crackers, crispbread, rye",14.2,0.5 oz,6.1 g,31.0 mg,7.9 g,1.07 g,1.3 g,82.2 g,366.0 kcal
"Crackers, flavored, fish-shaped",5.2,10.0 goldfish,3.42 g,83.0 mg,10.16 g,1.18 g,17.71 g,65.67 g,463.0 kcal
"Crackers, gluten-free, multi-seeded and multigrain",6.1,3.0 crackers,3.59 g,238.0 mg,11.25 g,0.86 g,15.84 g,66.3 g,453.0 kcal
"Crackers, gluten-free, multigrain and vegetable, made with corn starch and white rice flour",10.7,3.0 crackers,2.48 g,28.0 mg,2.5 g,3.9 g,15.41 g,76.94 g,456.0 kcal
"Crackers, matzo, egg",14.2,0.5 oz,6.4 g,40.0 mg,12.3 g,-- g,2.1 g,78.6 g,391.0 kcal
"Crackers, matzo, egg and onion",14.2,0.5 oz,7.2 g,36.0 mg,10.0 g,-- g,3.9 g,77.1 g,391.0 kcal
"Crackers, matzo, plain",14.2,0.5 oz,4.3 g,13.0 mg,10.0 g,0.29 g,1.4 g,83.7 g,395.0 kcal
"Crackers, matzo, whole-wheat",14.2,0.5 oz,4.8 g,23.0 mg,13.1 g,-- g,1.5 g,78.9 g,351.0 kcal
"Crackers, melba toast, plain",14.2,0.5 oz,5.1 g,93.0 mg,12.1 g,0.94 g,3.2 g,76.6 g,390.0 kcal
"Crackers, melba toast, plain, without salt",14.2,0.5 oz,5.1 g,93.0 mg,12.1 g,-- g,3.2 g,76.6 g,390.0 kcal
"Crackers, melba toast, rye (includes pumpernickel)",14.2,0.5 oz,4.9 g,78.0 mg,11.6 g,-- g,3.4 g,77.3 g,389.0 kcal
"Crackers, melba toast, wheat",14.2,0.5 oz,5.5 g,43.0 mg,12.9 g,-- g,2.3 g,76.4 g,374.0 kcal
"Crackers, milk",14.2,0.5 oz,4.7 g,172.0 mg,7.6 g,10.32 g,13.77 g,71.73 g,446.0 kcal
"Crackers, multigrain",14.0,4.0 crackers,2.5 g,14.0 mg,7.1 g,12.0 g,20.4 g,67.6 g,482.0 kcal
"Crackers, rusk toast",14.2,0.5 oz,5.5 g,27.0 mg,13.5 g,-- g,7.2 g,72.3 g,407.0 kcal
"Crackers, rye, sandwich-type with cheese filling",14.2,0.5 oz,3.8 g,222.0 mg,9.2 g,-- g,22.3 g,60.8 g,481.0 kcal
"Crackers, rye, wafers, plain",14.2,0.5 oz,5.0 g,40.0 mg,9.6 g,1.01 g,0.9 g,80.4 g,334.0 kcal
"Crackers, rye, wafers, seasoned",14.2,0.5 oz,4.0 g,44.0 mg,9.0 g,-- g,9.2 g,73.8 g,381.0 kcal
"Crackers, saltines (includes oyster, soda, soup)",14.9,5.0 crackers,5.05 g,19.0 mg,9.46 g,1.29 g,8.64 g,74.05 g,418.0 kcal
"Crackers, saltines, fat-free, low-sodium",15.0,3.0 saltines,3.4 g,22.0 mg,10.5 g,0.38 g,1.6 g,82.3 g,393.0 kcal
"Crackers, saltines, low salt (includes oyster, soda, soup)",14.2,0.5 oz,4.03 g,119.0 mg,9.5 g,2.22 g,8.85 g,74.34 g,421.0 kcal
"Crackers, saltines, unsalted tops (includes oyster, soda, soup)",14.2,0.5 oz,4.1 g,119.0 mg,9.2 g,-- g,11.8 g,71.5 g,434.0 kcal
"Crackers, saltines, whole wheat (includes multi-grain)",14.0,1.0 serving,9.85 g,-- mg,7.14 g,0.0 g,10.71 g,68.25 g,398.0 kcal
"Crackers, sandwich-type, peanut butter filled, reduced fat",36.0,1.0 package,9.33 g,0.0 mg,8.33 g,11.11 g,16.67 g,63.49 g,437.0 kcal
"Crackers, snack, GOYA CRACKERS",30.0,1.0 serving (1 NLEA serving - about 4 crackers),5.93 g,16.0 mg,14.25 g,2.35 g,13.35 g,64.35 g,433.0 kcal
"Crackers, standard snack-type, regular",16.0,5.0 crackers,3.14 g,120.0 mg,6.64 g,8.18 g,26.43 g,61.3 g,510.0 kcal
"Crackers, standard snack-type, regular, low salt",14.2,0.5 oz,3.5 g,120.0 mg,7.4 g,1.79 g,25.3 g,61.0 g,502.0 kcal
"Crackers, standard snack-type, sandwich, with cheese filling",14.2,0.5 oz,3.9 g,257.0 mg,9.3 g,3.18 g,21.1 g,61.7 g,477.0 kcal
"Crackers, standard snack-type, sandwich, with peanut butter filling",14.2,0.5 oz,2.93 g,81.0 mg,11.47 g,10.5 g,24.54 g,58.38 g,494.0 kcal
"Crackers, standard snack-type, with whole wheat",15.0,5.0 crackers 1 serving,2.73 g,167.0 mg,7.29 g,10.43 g,17.84 g,68.37 g,463.0 kcal
"Crackers, toast thins, low sodium",31.0,1.0 serving,8.12 g,0.0 mg,6.45 g,12.9 g,16.13 g,67.66 g,442.0 kcal
"Crackers, water biscuits",14.0,4.0 cracker 1 serving,11.0 g,-- mg,7.14 g,0.0 g,-- g,72.81 g,384.0 kcal
"Crackers, wheat, low salt",14.2,0.5 oz,3.1 g,49.0 mg,8.6 g,13.04 g,20.6 g,64.9 g,473.0 kcal
"Crackers, wheat, reduced fat",29.0,1.0 serving,2.73 g,80.0 mg,9.34 g,15.01 g,13.37 g,71.52 g,444.0 kcal
"Crackers, wheat, regular",34.0,16.0 crackers 1 serving,2.75 g,92.0 mg,7.3 g,15.48 g,16.4 g,70.73 g,455.0 kcal
"Crackers, wheat, sandwich, with cheese filling",14.2,0.5 oz,3.2 g,204.0 mg,9.8 g,-- g,25.0 g,58.2 g,497.0 kcal
"Crackers, wheat, sandwich, with peanut butter filling",14.2,0.5 oz,3.4 g,170.0 mg,13.5 g,-- g,26.7 g,53.8 g,495.0 kcal
"Crackers, whole grain, sandwich-type, with peanut butter filling",43.0,6.0 cracker 1 serving,7.32 g,33.0 mg,14.12 g,9.41 g,21.18 g,54.59 g,465.0 kcal
"Crackers, whole-wheat",28.0,1.0 serving,2.94 g,36.0 mg,10.58 g,1.19 g,14.13 g,69.55 g,427.0 kcal
"Crackers, whole-wheat, low salt",14.2,0.5 oz,2.7 g,50.0 mg,8.8 g,0.37 g,17.2 g,68.6 g,443.0 kcal
"Crackers, whole-wheat, reduced fat",29.0,1.0 serving,2.59 g,39.0 mg,11.34 g,1.22 g,7.59 g,75.52 g,416.0 kcal
"Cream puff shell, prepared from recipe",28.35,1.0 oz,40.5 g,36.0 mg,9.0 g,0.25 g,25.9 g,22.8 g,360.0 kcal
"Cream puff, eclair, custard or cream filled, iced",113.0,4.0 oz,38.64 g,35.0 mg,4.41 g,22.05 g,18.52 g,37.43 g,334.0 kcal
"Croissants, apple",28.35,1.0 oz,45.6 g,30.0 mg,7.4 g,-- g,8.7 g,37.1 g,254.0 kcal
"Croissants, butter",28.35,1.0 oz,23.2 g,37.0 mg,8.2 g,11.26 g,21.0 g,45.8 g,406.0 kcal
"Croissants, cheese",28.35,1.0 oz,21.0 g,53.0 mg,9.2 g,11.35 g,20.9 g,47.0 g,414.0 kcal
"Croutons, plain",14.2,0.5 oz,5.5 g,76.0 mg,11.9 g,-- g,6.6 g,73.5 g,407.0 kcal
"Croutons, seasoned",14.2,0.5 oz,3.6 g,96.0 mg,10.8 g,4.41 g,18.3 g,63.5 g,465.0 kcal
"CRUNCHMASTER, Multi-Grain Crisps, Snack Crackers, Gluten-Free",3.9,3.0 crackers,3.29 g,246.0 mg,10.91 g,0.8 g,15.92 g,67.18 g,456.0 kcal
"Danish pastry, cheese",28.35,1.0 oz,31.4 g,35.0 mg,8.0 g,6.95 g,21.9 g,37.2 g,374.0 kcal
"Danish pastry, cinnamon, enriched",28.35,1.0 oz,24.3 g,71.0 mg,7.0 g,19.78 g,22.4 g,44.6 g,403.0 kcal
"Danish pastry, cinnamon, unenriched",28.35,1.0 oz,24.3 g,71.0 mg,7.0 g,-- g,22.4 g,44.6 g,403.0 kcal
"Danish pastry, fruit, enriched (includes apple, cinnamon, raisin, lemon, raspberry, strawberry)",28.35,1.0 oz,27.1 g,46.0 mg,5.4 g,27.53 g,18.5 g,47.8 g,371.0 kcal
"Danish pastry, fruit, unenriched (includes apple, cinnamon, raisin, strawberry)",28.35,1.0 oz,27.1 g,46.0 mg,5.4 g,-- g,18.5 g,47.8 g,371.0 kcal
"Danish pastry, lemon, unenriched",28.35,1.0 oz,27.1 g,46.0 mg,5.4 g,-- g,18.5 g,47.8 g,371.0 kcal
"Danish pastry, nut (includes almond, raisin nut, cinnamon nut)",28.35,1.0 oz,20.4 g,94.0 mg,7.1 g,25.87 g,25.2 g,45.7 g,430.0 kcal
"Danish pastry, raspberry, unenriched",28.35,1.0 oz,27.1 g,46.0 mg,5.4 g,-- g,18.5 g,47.8 g,371.0 kcal
"Doughnuts, cake-type, chocolate, sugared or glazed",28.35,1.0 oz,16.3 g,213.0 mg,4.5 g,31.92 g,19.9 g,57.4 g,417.0 kcal
"Doughnuts, cake-type, plain (includes unsugared, old-fashioned)",40.0,1.0 donut,20.82 g,40.0 mg,5.31 g,18.15 g,24.93 g,47.06 g,434.0 kcal
"Doughnuts, cake-type, plain, chocolate-coated or frosted",28.35,1.0 oz,16.76 g,24.0 mg,4.93 g,26.65 g,25.25 g,51.33 g,452.0 kcal
"Doughnuts, cake-type, plain, sugared or glazed",28.35,1.0 oz,19.6 g,60.0 mg,5.2 g,-- g,22.9 g,50.8 g,426.0 kcal
"Doughnuts, french crullers, glazed",28.35,1.0 oz,17.9 g,26.0 mg,3.1 g,35.11 g,18.3 g,59.5 g,412.0 kcal
"Doughnuts, yeast-leavened, glazed, enriched (includes honey buns)",28.35,1.0 oz,22.0 g,101.0 mg,6.14 g,22.75 g,22.7 g,47.93 g,421.0 kcal
"Doughnuts, yeast-leavened, glazed, unenriched (includes honey buns)",28.35,1.0 oz,25.4 g,43.0 mg,6.4 g,-- g,22.8 g,44.3 g,403.0 kcal
"Doughnuts, yeast-leavened, with creme filling",28.35,1.0 oz,38.2 g,25.0 mg,6.4 g,14.55 g,24.5 g,30.0 g,361.0 kcal
"Doughnuts, yeast-leavened, with jelly filling",28.35,1.0 oz,35.6 g,25.0 mg,5.9 g,21.1 g,18.7 g,39.0 g,340.0 kcal
"English muffins, mixed-grain (includes granola)",28.35,1.0 oz,40.2 g,196.0 mg,9.1 g,0.81 g,1.8 g,46.3 g,235.0 kcal
"English muffins, mixed-grain, toasted (includes granola)",28.35,1.0 oz,35.0 g,213.0 mg,9.9 g,0.88 g,1.9 g,50.3 g,255.0 kcal
"English muffins, plain, enriched, with ca prop (includes sourdough)",28.35,1.0 oz,43.56 g,163.0 mg,8.87 g,3.53 g,1.69 g,44.17 g,227.0 kcal
"English muffins, plain, enriched, without calcium propionate(includes sourdough)",28.35,1.0 oz,42.1 g,52.0 mg,7.7 g,-- g,1.8 g,46.0 g,235.0 kcal
"English muffins, plain, toasted, enriched, with calcium propionate (includes sourdough)",28.35,1.0 oz,32.97 g,197.0 mg,10.32 g,3.47 g,2.02 g,52.65 g,270.0 kcal
"English muffins, plain, unenriched, with calcium propionate (includes sourdough)",28.35,1.0 oz,42.1 g,174.0 mg,7.7 g,-- g,1.8 g,46.0 g,235.0 kcal
"English muffins, plain, unenriched, without calcium propionate (includes sourdough)",28.35,1.0 oz,42.1 g,52.0 mg,7.7 g,-- g,1.8 g,46.0 g,235.0 kcal
"English muffins, raisin-cinnamon (includes apple-cinnamon)",28.35,1.0 oz,40.6 g,114.0 mg,7.91 g,14.76 g,1.8 g,48.1 g,240.0 kcal
"English muffins, raisin-cinnamon, toasted (includes apple-cinnamon)",28.35,1.0 oz,32.07 g,139.0 mg,8.87 g,13.34 g,2.21 g,55.04 g,276.0 kcal
"English muffins, wheat",28.35,1.0 oz,42.3 g,178.0 mg,8.7 g,1.56 g,2.0 g,44.8 g,223.0 kcal
"English muffins, wheat, toasted",28.35,1.0 oz,37.2 g,193.0 mg,9.4 g,1.7 g,2.1 g,48.7 g,243.0 kcal
