Fruits and Fruit Juices,Weight,Measure,Protein,Sugars,Fat,Carbohydrate,Calcium,Energy,Water
Horned melon (Kiwano),233.0,1.0 cup,88.97 g,13.0 mg,1.78 g,-- g,1.26 g,7.56 g,44.0 kcal
"Jackfruit, canned, syrup pack",178.0,"1.0 cup, drained",75.28 g,44.0 mg,0.36 g,-- g,0.14 g,23.94 g,92.0 kcal
"Jackfruit, raw",165.0,"1.0 cup, sliced",73.46 g,24.0 mg,1.72 g,19.08 g,0.64 g,23.25 g,95.0 kcal
"Java-plum, (jambolan), raw",135.0,1.0 cup,83.13 g,19.0 mg,0.72 g,-- g,0.23 g,15.56 g,60.0 kcal
"Juice, apple and grape blend, with added ascorbic acid",250.0,8.0 fl oz,87.05 g,11.0 mg,0.16 g,10.92 g,0.12 g,12.46 g,50.0 kcal
"Juice, apple, grape and pear blend, with added ascorbic acid and calcium",250.0,8.0 fl oz,86.44 g,72.0 mg,0.17 g,9.95 g,0.12 g,12.96 g,52.0 kcal
"Kiwifruit, green, raw",180.0,"1.0 cup, sliced",83.07 g,34.0 mg,1.14 g,8.99 g,0.52 g,14.66 g,61.0 kcal
"Kiwifruit, ZESPRI SunGold, raw",81.0,1.0 fruit,82.44 g,17.0 mg,1.02 g,12.3 g,0.28 g,15.79 g,63.0 kcal
"Kumquats, raw",19.0,1.0 fruit without refuse,80.85 g,62.0 mg,1.88 g,9.36 g,0.86 g,15.9 g,71.0 kcal
"Lemon juice from concentrate, bottled, CONCORD",15.0,1.0 tbsp,93.96 g,8.0 mg,0.4 g,1.42 g,0.07 g,5.37 g,24.0 kcal
"Lemon juice from concentrate, bottled, REAL LEMON",15.0,1.0 tbsp,93.57 g,9.0 mg,0.47 g,1.59 g,0.07 g,5.66 g,17.0 kcal
"Lemon juice from concentrate, canned or bottled",15.0,1.0 tbsp,93.64 g,10.0 mg,0.45 g,1.53 g,0.07 g,5.62 g,17.0 kcal
"Lemon juice, frozen, unsweetened, single strength",244.0,1.0 cup,92.39 g,8.0 mg,0.46 g,2.4 g,0.32 g,6.5 g,22.0 kcal
"Lemon juice, raw",244.0,1.0 cup,92.31 g,6.0 mg,0.35 g,2.52 g,0.24 g,6.9 g,22.0 kcal
"Lemon peel, raw",6.0,1.0 tbsp,81.6 g,134.0 mg,1.5 g,4.17 g,0.3 g,16.0 g,47.0 kcal
"Lemons, raw, without peel",212.0,"1.0 cup, sections",88.98 g,26.0 mg,1.1 g,2.5 g,0.3 g,9.32 g,29.0 kcal
"Lime juice, canned or bottled, unsweetened",246.0,1.0 cup,92.52 g,12.0 mg,0.25 g,1.37 g,0.23 g,6.69 g,21.0 kcal
"Lime juice, raw",242.0,1.0 cup,90.79 g,14.0 mg,0.42 g,1.69 g,0.07 g,8.42 g,25.0 kcal
"Limes, raw",67.0,"1.0 fruit (2"" dia)",88.26 g,33.0 mg,0.7 g,1.69 g,0.2 g,10.54 g,30.0 kcal
"Litchis, dried",2.5,1.0 fruit,22.3 g,33.0 mg,3.8 g,66.1 g,1.2 g,70.7 g,277.0 kcal
"Litchis, raw",190.0,1.0 cup,81.76 g,5.0 mg,0.83 g,15.23 g,0.44 g,16.53 g,66.0 kcal
"Loganberries, frozen",147.0,"1.0 cup, unthawed",84.61 g,26.0 mg,1.52 g,7.7 g,0.31 g,13.02 g,55.0 kcal
"Longans, dried",1.7,1.0 fruit,17.6 g,45.0 mg,4.9 g,-- g,0.4 g,74.0 g,286.0 kcal
"Longans, raw",3.2,1.0 fruit without refuse,82.75 g,1.0 mg,1.31 g,-- g,0.1 g,15.14 g,60.0 kcal
"Loquats, raw",149.0,"1.0 cup, cubed",86.73 g,16.0 mg,0.43 g,-- g,0.2 g,12.14 g,47.0 kcal
"Mammy-apple, (mamey), raw",846.0,1.0 fruit without refuse,86.2 g,11.0 mg,0.5 g,-- g,-- g,12.5 g,51.0 kcal
"Mango nectar, canned",251.0,1.0 cup,86.63 g,17.0 mg,0.11 g,12.45 g,0.06 g,13.12 g,51.0 kcal
"Mangos, raw",165.0,1.0 cup pieces,83.46 g,11.0 mg,0.82 g,13.66 g,0.38 g,14.98 g,60.0 kcal
"Mangosteen, canned, syrup pack",196.0,"1.0 cup, drained",80.94 g,12.0 mg,0.41 g,-- g,0.58 g,17.91 g,73.0 kcal
"Maraschino cherries, canned, drained",5.0,1.0 cherry (NLEA serving),57.27 g,54.0 mg,0.22 g,38.77 g,0.21 g,41.97 g,165.0 kcal
"Melon balls, frozen",173.0,"1.0 cup, unthawed",90.26 g,10.0 mg,0.84 g,-- g,0.25 g,7.94 g,33.0 kcal
"Melons, cantaloupe, raw",177.0,"1.0 cup, balls",90.15 g,9.0 mg,0.84 g,7.86 g,0.19 g,8.16 g,34.0 kcal
"Melons, casaba, raw",170.0,"1.0 cup, cubes",91.85 g,11.0 mg,1.11 g,5.69 g,0.1 g,6.58 g,28.0 kcal
"Melons, honeydew, raw",170.0,"1.0 cup, diced (approx 20 pieces per cup)",89.82 g,6.0 mg,0.54 g,8.12 g,0.14 g,9.09 g,36.0 kcal
"Mulberries, raw",140.0,1.0 cup,87.68 g,39.0 mg,1.44 g,8.1 g,0.39 g,9.8 g,43.0 kcal
"Nance, canned, syrup, drained",11.1,3.0 fruit without pits,74.85 g,42.0 mg,0.56 g,15.66 g,1.28 g,22.79 g,95.0 kcal
"Nance, frozen, unsweetened",112.0,"1.0 cup without pits, thawed",80.64 g,46.0 mg,0.66 g,8.31 g,1.16 g,16.97 g,73.0 kcal
"Naranjilla (lulo) pulp, frozen, unsweetened",120.0,1.0 cup thawed,93.05 g,8.0 mg,0.44 g,3.74 g,0.22 g,5.9 g,25.0 kcal
"Nectarines, raw",143.0,1.0 cup slices,87.59 g,6.0 mg,1.06 g,7.89 g,0.32 g,10.55 g,44.0 kcal
"Oheloberries, raw",140.0,1.0 cup,92.3 g,7.0 mg,0.38 g,-- g,0.22 g,6.84 g,28.0 kcal
"Olives, pickled, canned or bottled, green",2.7,1.0 olive,75.28 g,52.0 mg,1.03 g,0.54 g,15.32 g,3.84 g,145.0 kcal
"Olives, ripe, canned (jumbo-super colossal)",15.0,1.0 super colossal,84.34 g,94.0 mg,0.97 g,0.0 g,6.87 g,5.61 g,81.0 kcal
"Olives, ripe, canned (small-extra large)",8.4,1.0 tbsp,79.99 g,88.0 mg,0.84 g,0.0 g,10.68 g,6.26 g,115.0 kcal
"Orange juice, canned, unsweetened",249.0,1.0 cup,87.72 g,10.0 mg,0.68 g,8.76 g,0.15 g,11.01 g,47.0 kcal
"Orange juice, chilled, includes from concentrate",249.0,1.0 cup,87.22 g,11.0 mg,0.68 g,8.31 g,0.12 g,11.54 g,49.0 kcal
"Orange juice, chilled, includes from concentrate, with added calcium",249.0,1.0 cup,87.22 g,140.0 mg,0.68 g,8.31 g,0.12 g,11.27 g,47.0 kcal
"Orange juice, chilled, includes from concentrate, with added calcium and vitamin D",249.0,1.0 cup,87.22 g,140.0 mg,0.68 g,8.31 g,0.12 g,11.27 g,47.0 kcal
"Orange juice, chilled, includes from concentrate, with added calcium and vitamins A, D, E",249.0,1.0 cup,87.22 g,146.0 mg,0.68 g,8.31 g,0.12 g,11.54 g,49.0 kcal
"Orange juice, frozen concentrate, unsweetened, diluted with 3 volume water",249.0,1.0 cup,90.07 g,12.0 mg,0.6 g,7.42 g,0.06 g,8.8 g,37.0 kcal
"Orange juice, frozen concentrate, unsweetened, diluted with 3 volume water, with added calcium",249.0,1.0 cup,90.07 g,147.0 mg,0.6 g,7.42 g,0.06 g,8.47 g,37.0 kcal
"Orange juice, frozen concentrate, unsweetened, undiluted",262.0,1.0 cup,60.57 g,38.0 mg,2.4 g,29.68 g,0.25 g,35.19 g,148.0 kcal
"Orange juice, frozen concentrate, unsweetened, undiluted, with added calcium",262.0,1.0 cup,60.57 g,578.0 mg,2.4 g,29.68 g,0.25 g,33.86 g,147.0 kcal
"Orange juice, raw",248.0,1.0 cup,88.3 g,11.0 mg,0.7 g,8.4 g,0.2 g,10.4 g,45.0 kcal
"Orange peel, raw",6.0,1.0 tbsp,72.5 g,161.0 mg,1.5 g,-- g,0.2 g,25.0 g,97.0 kcal
Orange Pineapple Juice Blend,246.0,8.0 fl oz,87.24 g,8.0 mg,0.41 g,10.57 g,0.08 g,12.2 g,51.0 kcal
"Orange-grapefruit juice, canned or bottled, unsweetened",247.0,1.0 cup,88.64 g,8.0 mg,0.6 g,10.18 g,0.1 g,10.28 g,43.0 kcal
"Oranges, raw, all commercial varieties",180.0,"1.0 cup, sections",86.75 g,40.0 mg,0.94 g,9.35 g,0.12 g,11.75 g,47.0 kcal
"Oranges, raw, California, valencias",180.0,"1.0 cup sections, without membranes",86.34 g,40.0 mg,1.04 g,-- g,0.3 g,11.89 g,49.0 kcal
"Oranges, raw, Florida",185.0,"1.0 cup sections, without membranes",87.14 g,43.0 mg,0.7 g,9.14 g,0.21 g,11.54 g,46.0 kcal
"Oranges, raw, navels",165.0,"1.0 cup sections, without membranes",85.97 g,43.0 mg,0.91 g,8.5 g,0.15 g,12.54 g,49.0 kcal
"Oranges, raw, with peel",170.0,1.0 cup,82.3 g,70.0 mg,1.3 g,-- g,0.3 g,15.5 g,63.0 kcal
"Papaya nectar, canned",250.0,1.0 cup,85.02 g,10.0 mg,0.17 g,13.91 g,0.15 g,14.51 g,57.0 kcal
"Papaya, canned, heavy syrup, drained",39.0,1.0 piece,43.33 g,21.0 mg,0.14 g,52.2 g,0.55 g,55.83 g,206.0 kcal
"Papayas, raw",145.0,"1.0 cup 1"" pieces",88.06 g,20.0 mg,0.47 g,7.82 g,0.26 g,10.82 g,43.0 kcal
"Passion-fruit juice, purple, raw",247.0,1.0 cup,85.62 g,4.0 mg,0.39 g,13.4 g,0.05 g,13.6 g,51.0 kcal
"Passion-fruit juice, yellow, raw",247.0,1.0 cup,84.21 g,4.0 mg,0.67 g,14.25 g,0.18 g,14.45 g,60.0 kcal
"Passion-fruit, (granadilla), purple, raw",236.0,1.0 cup,72.93 g,12.0 mg,2.2 g,11.2 g,0.7 g,23.38 g,97.0 kcal
"Peach nectar, canned, with added ascorbic acid",249.0,1.0 cup,85.64 g,5.0 mg,0.27 g,12.35 g,0.02 g,13.92 g,54.0 kcal
"Peach nectar, canned, without added ascorbic acid",249.0,1.0 cup,85.64 g,5.0 mg,0.27 g,13.32 g,0.02 g,13.92 g,54.0 kcal
"Peaches, canned, extra heavy syrup pack, solids and liquids",262.0,"1.0 cup, halves or slices",73.19 g,3.0 mg,0.47 g,-- g,0.03 g,26.06 g,96.0 kcal
"Peaches, canned, extra light syrup, solids and liquids",247.0,"1.0 cup, halves or slices",88.2 g,5.0 mg,0.4 g,-- g,0.1 g,11.1 g,42.0 kcal
"Peaches, canned, heavy syrup pack, solids and liquids",262.0,1.0 cup,79.28 g,3.0 mg,0.45 g,18.64 g,0.1 g,19.94 g,74.0 kcal
"Peaches, canned, heavy syrup, drained",222.0,1.0 cup,80.62 g,3.0 mg,0.52 g,14.66 g,0.18 g,18.43 g,72.0 kcal
"Peaches, canned, juice pack, solids and liquids",250.0,1.0 cup,87.49 g,6.0 mg,0.63 g,10.27 g,0.03 g,11.57 g,44.0 kcal
"Peaches, canned, light syrup pack, solids and liquids",251.0,"1.0 cup, halves or slices",84.72 g,3.0 mg,0.45 g,13.25 g,0.03 g,14.55 g,54.0 kcal
"Peaches, canned, water pack, solids and liquids",244.0,"1.0 cup, halves or slices",93.13 g,2.0 mg,0.44 g,4.81 g,0.06 g,6.11 g,24.0 kcal
"Peaches, dehydrated (low-moisture), sulfured, stewed",242.0,1.0 cup,62.04 g,16.0 mg,2.01 g,-- g,0.42 g,34.14 g,133.0 kcal
"Peaches, dehydrated (low-moisture), sulfured, uncooked",116.0,1.0 cup,7.5 g,38.0 mg,4.89 g,-- g,1.03 g,83.18 g,325.0 kcal
"Peaches, dried, sulfured, stewed, with added sugar",270.0,1.0 cup,71.38 g,8.0 mg,1.06 g,-- g,0.22 g,26.6 g,103.0 kcal
"Peaches, dried, sulfured, stewed, without added sugar",258.0,1.0 cup,78.1 g,9.0 mg,1.16 g,16.99 g,0.25 g,19.69 g,77.0 kcal
"Peaches, dried, sulfured, uncooked",160.0,"1.0 cup, halves",31.8 g,28.0 mg,3.61 g,41.74 g,0.76 g,61.33 g,239.0 kcal
"Peaches, frozen, sliced, sweetened",250.0,"1.0 cup, thawed",74.73 g,3.0 mg,0.63 g,22.18 g,0.13 g,23.98 g,94.0 kcal
"Peaches, spiced, canned, heavy syrup pack, solids and liquids",242.0,"1.0 cup, whole",79.2 g,6.0 mg,0.41 g,18.78 g,0.1 g,20.08 g,75.0 kcal
"Peaches, yellow, raw",154.0,1.0 cup slices,88.87 g,6.0 mg,0.91 g,8.39 g,0.25 g,9.54 g,39.0 kcal
"Pear nectar, canned, with added ascorbic acid",250.0,1.0 cup,84.01 g,5.0 mg,0.11 g,15.16 g,0.01 g,15.76 g,60.0 kcal
"Pear nectar, canned, without added ascorbic acid",250.0,1.0 cup,84.01 g,5.0 mg,0.11 g,15.16 g,0.01 g,15.76 g,60.0 kcal
"Pears, asian, raw",122.0,"1.0 fruit 2-1/4"" high x 2-1/2"" dia",88.25 g,4.0 mg,0.5 g,7.05 g,0.23 g,10.65 g,42.0 kcal
"Pears, canned, extra heavy syrup pack, solids and liquids",266.0,"1.0 cup, halves",74.28 g,5.0 mg,0.19 g,-- g,0.13 g,25.25 g,97.0 kcal
"Pears, canned, extra light syrup pack, solids and liquids",247.0,"1.0 cup, halves",87.3 g,7.0 mg,0.3 g,-- g,0.1 g,12.2 g,47.0 kcal
"Pears, canned, heavy syrup pack, solids and liquids",266.0,1.0 cup,80.35 g,5.0 mg,0.2 g,15.2 g,0.13 g,19.17 g,74.0 kcal
"Pears, canned, heavy syrup, drained",201.0,1.0 cup,80.35 g,6.0 mg,0.24 g,16.42 g,0.18 g,19.08 g,74.0 kcal
"Pears, canned, juice pack, solids and liquids",248.0,"1.0 cup, halves",86.47 g,9.0 mg,0.34 g,9.7 g,0.07 g,12.94 g,50.0 kcal
"Pears, canned, light syrup pack, solids and liquids",251.0,"1.0 cup, halves",84.46 g,5.0 mg,0.19 g,12.1 g,0.03 g,15.17 g,57.0 kcal
"Pears, canned, water pack, solids and liquids",244.0,"1.0 cup, halves",91.81 g,4.0 mg,0.19 g,6.1 g,0.03 g,7.81 g,29.0 kcal
"Pears, dried, sulfured, stewed, with added sugar",280.0,"1.0 cup, halves",61.2 g,15.0 mg,0.86 g,-- g,0.29 g,37.14 g,140.0 kcal
"Pears, dried, sulfured, stewed, without added sugar",255.0,"1.0 cup, halves",64.44 g,16.0 mg,0.91 g,27.41 g,0.31 g,33.81 g,127.0 kcal
"Pears, dried, sulfured, uncooked",180.0,"1.0 cup, halves",26.69 g,34.0 mg,1.87 g,62.2 g,0.63 g,69.7 g,262.0 kcal
"Pears, raw",140.0,"1.0 cup, slices",83.96 g,9.0 mg,0.36 g,9.75 g,0.14 g,15.23 g,57.0 kcal
"Pears, raw, bartlett",140.0,"1.0 cup, sliced",84.14 g,9.0 mg,0.39 g,9.69 g,0.16 g,15.01 g,63.0 kcal
"Pears, raw, bosc",140.0,"1.0 cup, sliced",83.18 g,10.0 mg,0.36 g,10.23 g,0.09 g,16.1 g,67.0 kcal
"Pears, raw, green anjou",140.0,"1.0 cup, sliced",83.31 g,11.0 mg,0.44 g,9.73 g,0.1 g,15.79 g,66.0 kcal
"Pears, raw, red anjou",126.0,1.0 small,84.24 g,11.0 mg,0.33 g,9.54 g,0.14 g,14.94 g,62.0 kcal
"Persimmons, japanese, dried",34.0,1.0 fruit without refuse,23.01 g,25.0 mg,1.38 g,-- g,0.59 g,73.43 g,274.0 kcal
"Persimmons, japanese, raw",168.0,"1.0 fruit (2-1/2"" dia)",80.32 g,8.0 mg,0.58 g,12.53 g,0.19 g,18.59 g,70.0 kcal
"Persimmons, native, raw",25.0,1.0 fruit without refuse,64.4 g,27.0 mg,0.8 g,-- g,0.4 g,33.5 g,127.0 kcal
"Pineapple juice, canned or bottled, unsweetened, with added ascorbic acid",250.0,1.0 cup,86.37 g,13.0 mg,0.36 g,9.98 g,0.12 g,12.87 g,53.0 kcal
"Pineapple juice, canned or bottled, unsweetened, without added ascorbic acid",250.0,1.0 cup,86.37 g,13.0 mg,0.36 g,9.98 g,0.12 g,12.87 g,53.0 kcal
"Pineapple juice, canned, not from concentrate, unsweetened, with added vitamins A, C and E",250.0,1.0 cup,87.06 g,14.0 mg,0.36 g,9.98 g,0.14 g,12.18 g,50.0 kcal
"Pineapple juice, frozen concentrate, unsweetened, diluted with 3 volume water",250.0,1.0 cup,86.6 g,13.0 mg,0.4 g,12.47 g,0.03 g,12.67 g,51.0 kcal
"Pineapple juice, frozen concentrate, unsweetened, undiluted",216.0,1.0 can (6 fl oz),53.1 g,39.0 mg,1.3 g,43.6 g,0.1 g,44.3 g,179.0 kcal
"Pineapple, canned, extra heavy syrup pack, solids and liquids",260.0,"1.0 cup, crushed, sliced, or chunks",77.71 g,14.0 mg,0.34 g,-- g,0.11 g,21.5 g,83.0 kcal
"Pineapple, canned, heavy syrup pack, solids and liquids",254.0,"1.0 cup, crushed, sliced, or chunks",78.99 g,14.0 mg,0.35 g,16.9 g,0.11 g,20.2 g,78.0 kcal
"Pineapple, canned, juice pack, drained",181.0,"1.0 cup, chunks",83.51 g,16.0 mg,0.51 g,14.26 g,0.11 g,15.56 g,60.0 kcal
"Pineapple, canned, juice pack, solids and liquids",249.0,"1.0 cup, crushed, sliced, or chunks",83.51 g,14.0 mg,0.42 g,14.45 g,0.08 g,15.7 g,60.0 kcal
"Pineapple, canned, light syrup pack, solids and liquids",252.0,"1.0 cup, crushed, sliced, or chunks",85.73 g,14.0 mg,0.36 g,12.65 g,0.12 g,13.45 g,52.0 kcal
"Pineapple, canned, water pack, solids and liquids",246.0,"1.0 cup, crushed, sliced, or chunks",90.82 g,15.0 mg,0.43 g,7.5 g,0.09 g,8.3 g,32.0 kcal
"Pineapple, frozen, chunks, sweetened",245.0,"1.0 cup, chunks",77.1 g,9.0 mg,0.4 g,21.1 g,0.1 g,22.2 g,86.0 kcal
"Pineapple, raw, all varieties",165.0,"1.0 cup, chunks",86.0 g,13.0 mg,0.54 g,9.85 g,0.12 g,13.12 g,50.0 kcal
"Pineapple, raw, extra sweet variety",165.0,"1.0 cup, chunks",85.66 g,13.0 mg,0.53 g,10.32 g,0.11 g,13.5 g,51.0 kcal
"Pineapple, raw, traditional varieties",165.0,"1.0 cup, chunks",87.24 g,13.0 mg,0.55 g,8.29 g,0.13 g,11.82 g,45.0 kcal
"Pitanga, (surinam-cherry), raw",173.0,1.0 cup,90.81 g,9.0 mg,0.8 g,-- g,0.4 g,7.49 g,33.0 kcal
"Plantains, cooked",200.0,"1.0 cup, mashed",67.3 g,2.0 mg,0.79 g,14.0 g,0.18 g,31.15 g,116.0 kcal
"Plantains, green, fried",118.0,1.0 cup,36.08 g,4.0 mg,1.5 g,3.63 g,11.81 g,49.17 g,309.0 kcal
"Plantains, raw",148.0,"1.0 cup, sliced",65.28 g,3.0 mg,1.3 g,15.0 g,0.37 g,31.89 g,122.0 kcal
"Plantains, yellow, fried, Latino restaurant",169.0,1.0 cup,49.04 g,6.0 mg,1.42 g,21.76 g,7.51 g,40.77 g,236.0 kcal
"Plums, canned, heavy syrup, drained",183.0,"1.0 cup, with pits, yields",76.06 g,10.0 mg,0.44 g,21.58 g,0.14 g,23.12 g,89.0 kcal
"Plums, canned, purple, extra heavy syrup pack, solids and liquids",261.0,"1.0 cup, pitted",73.0 g,9.0 mg,0.36 g,-- g,0.1 g,26.31 g,101.0 kcal
"Plums, canned, purple, heavy syrup pack, solids and liquids",258.0,"1.0 cup, pitted",76.06 g,9.0 mg,0.36 g,22.31 g,0.1 g,23.24 g,89.0 kcal
"Plums, canned, purple, juice pack, solids and liquids",252.0,"1.0 cup, pitted",84.02 g,10.0 mg,0.51 g,14.22 g,0.02 g,15.15 g,58.0 kcal
"Plums, canned, purple, light syrup pack, solids and liquids",252.0,"1.0 cup, pitted",83.0 g,9.0 mg,0.37 g,15.35 g,0.1 g,16.28 g,63.0 kcal
"Plums, canned, purple, water pack, solids and liquids",249.0,"1.0 cup, pitted",88.35 g,7.0 mg,0.39 g,10.1 g,0.01 g,11.03 g,41.0 kcal
"Plums, dried (prunes), stewed, with added sugar",248.0,"1.0 cup, pitted",65.08 g,21.0 mg,1.09 g,-- g,0.22 g,32.88 g,124.0 kcal
"Plums, dried (prunes), stewed, without added sugar",248.0,"1.0 cup, pitted",69.73 g,19.0 mg,0.96 g,24.98 g,0.16 g,28.08 g,107.0 kcal
"Plums, dried (prunes), uncooked",174.0,"1.0 cup, pitted",30.92 g,43.0 mg,2.18 g,38.13 g,0.38 g,63.88 g,240.0 kcal
"Plums, raw",165.0,"1.0 cup, sliced",87.23 g,6.0 mg,0.7 g,9.92 g,0.28 g,11.42 g,46.0 kcal
"Pomegranate juice, bottled",249.0,1.0 cup,85.95 g,11.0 mg,0.15 g,12.65 g,0.29 g,13.13 g,54.0 kcal
"Pomegranates, raw",87.0,0.5 cup arils (seed/juice sacs),77.93 g,10.0 mg,1.67 g,13.67 g,1.17 g,18.7 g,83.0 kcal
"Prickly pears, raw",149.0,1.0 cup,87.55 g,56.0 mg,0.73 g,-- g,0.51 g,9.57 g,41.0 kcal
"Prune juice, canned",256.0,1.0 cup,81.24 g,12.0 mg,0.61 g,16.45 g,0.03 g,17.45 g,71.0 kcal
Prune puree,36.0,2.0 tbsp,30.0 g,31.0 mg,2.1 g,39.0 g,0.2 g,65.1 g,257.0 kcal
"Prunes, canned, heavy syrup pack, solids and liquids",234.0,1.0 cup,70.67 g,17.0 mg,0.87 g,-- g,0.2 g,27.8 g,105.0 kcal
"Prunes, dehydrated (low-moisture), stewed",280.0,1.0 cup,67.99 g,24.0 mg,1.23 g,-- g,0.24 g,29.7 g,113.0 kcal
"Prunes, dehydrated (low-moisture), uncooked",132.0,1.0 cup,4.0 g,72.0 mg,3.7 g,-- g,0.73 g,89.07 g,339.0 kcal
"Pummelo, raw",190.0,"1.0 cup, sections",89.1 g,4.0 mg,0.76 g,-- g,0.04 g,9.62 g,38.0 kcal
"Quinces, raw",92.0,1.0 fruit without refuse,83.8 g,11.0 mg,0.4 g,-- g,0.1 g,15.3 g,57.0 kcal
"Raisins, golden seedless",165.0,"1.0 cup, packed",14.97 g,53.0 mg,3.39 g,59.19 g,0.46 g,79.52 g,302.0 kcal
"Raisins, seeded",165.0,"1.0 cup, packed",16.57 g,28.0 mg,2.52 g,-- g,0.54 g,78.47 g,296.0 kcal
"Raisins, seedless",165.0,"1.0 cup, packed",15.43 g,50.0 mg,3.07 g,59.19 g,0.46 g,79.18 g,299.0 kcal
"Rambutan, canned, syrup pack",150.0,"1.0 cup, drained",78.04 g,22.0 mg,0.65 g,-- g,0.21 g,20.87 g,82.0 kcal
"Raspberries, canned, red, heavy syrup pack, solids and liquids",256.0,1.0 cup,75.33 g,11.0 mg,0.83 g,20.06 g,0.12 g,23.36 g,91.0 kcal
"Raspberries, frozen, red, sweetened",250.0,"1.0 cup, thawed",72.75 g,15.0 mg,0.7 g,21.76 g,0.16 g,26.16 g,103.0 kcal
"Raspberries, frozen, unsweetened",140.0,"1.0 cup, unthawed",85.75 g,25.0 mg,1.2 g,4.42 g,0.65 g,11.94 g,52.0 kcal
"Raspberries, raw",123.0,1.0 cup,85.75 g,25.0 mg,1.2 g,4.42 g,0.65 g,11.94 g,52.0 kcal
"Rhubarb, frozen, cooked, with sugar",240.0,1.0 cup,67.79 g,145.0 mg,0.39 g,28.7 g,0.05 g,31.2 g,116.0 kcal
"Rhubarb, frozen, uncooked",137.0,"1.0 cup, diced",93.51 g,194.0 mg,0.55 g,1.1 g,0.11 g,5.1 g,21.0 kcal
"Rhubarb, raw",122.0,"1.0 cup, diced",93.61 g,86.0 mg,0.9 g,1.1 g,0.2 g,4.54 g,21.0 kcal
"Roselle, raw",57.0,"1.0 cup, without refuse",86.58 g,215.0 mg,0.96 g,-- g,0.64 g,11.31 g,49.0 kcal
"Rowal, raw",114.0,0.5 cup,71.4 g,15.0 mg,2.3 g,14.1 g,2.0 g,23.9 g,111.0 kcal
"Ruby Red grapefruit juice blend (grapefruit, grape, apple), OCEAN SPRAY, bottled, with added vitamin C",248.0,8.0 fl oz,88.6 g,10.0 mg,0.5 g,10.3 g,0.1 g,10.53 g,44.0 kcal
"Sapodilla, raw",241.0,"1.0 cup, pulp",78.0 g,21.0 mg,0.44 g,-- g,1.1 g,19.96 g,83.0 kcal
"Sapote, mamey, raw",175.0,"1.0 cup 1"" pieces",64.87 g,18.0 mg,1.45 g,20.14 g,0.46 g,32.1 g,124.0 kcal
"Soursop, raw",225.0,"1.0 cup, pulp",81.16 g,14.0 mg,1.0 g,13.54 g,0.3 g,16.84 g,66.0 kcal
"Strawberries, canned, heavy syrup pack, solids and liquids",254.0,1.0 cup,75.35 g,13.0 mg,0.56 g,21.83 g,0.26 g,23.53 g,92.0 kcal
"Strawberries, frozen, sweetened, sliced",255.0,"1.0 cup, thawed",73.18 g,11.0 mg,0.53 g,24.01 g,0.13 g,25.92 g,96.0 kcal
"Strawberries, frozen, sweetened, whole",255.0,"1.0 cup, thawed",78.05 g,11.0 mg,0.52 g,18.61 g,0.14 g,21.0 g,78.0 kcal
"Strawberries, frozen, unsweetened",221.0,"1.0 cup, thawed",89.97 g,16.0 mg,0.43 g,4.56 g,0.11 g,9.13 g,35.0 kcal
"Strawberries, raw",152.0,"1.0 cup, halves",90.95 g,16.0 mg,0.67 g,4.89 g,0.3 g,7.68 g,32.0 kcal
"Sugar-apples, (sweetsop), raw",250.0,"1.0 cup, pulp",73.23 g,24.0 mg,2.06 g,-- g,0.29 g,23.64 g,94.0 kcal
"Tamarind nectar, canned",251.0,1.0 cup,84.97 g,10.0 mg,0.09 g,12.7 g,0.12 g,14.73 g,57.0 kcal
"Tamarinds, raw",120.0,"1.0 cup, pulp",31.4 g,74.0 mg,2.8 g,38.8 g,0.6 g,62.5 g,239.0 kcal
"Tangerine juice, canned, sweetened",249.0,1.0 cup,87.0 g,18.0 mg,0.5 g,11.8 g,0.2 g,12.0 g,50.0 kcal
"Tangerine juice, raw",247.0,1.0 cup,88.9 g,18.0 mg,0.5 g,9.9 g,0.2 g,10.1 g,43.0 kcal
"Tangerines, (mandarin oranges), canned, juice pack",249.0,1.0 cup,89.51 g,11.0 mg,0.62 g,8.87 g,0.03 g,9.57 g,37.0 kcal
"Tangerines, (mandarin oranges), canned, juice pack, drained",189.0,1.0 cup,89.51 g,12.0 mg,0.75 g,8.25 g,0.04 g,9.41 g,38.0 kcal
"Tangerines, (mandarin oranges), canned, light syrup pack",252.0,1.0 cup,83.06 g,7.0 mg,0.45 g,15.49 g,0.1 g,16.19 g,61.0 kcal
"Tangerines, (mandarin oranges), raw",195.0,"1.0 cup, sections",85.17 g,37.0 mg,0.81 g,10.58 g,0.31 g,13.34 g,53.0 kcal
"Watermelon, raw",154.0,"1.0 cup, balls",91.45 g,7.0 mg,0.61 g,6.2 g,0.15 g,7.55 g,30.0 kcal
